ksource,keywords,knum,nsource,nnum,title,url
NAVER,프레시지 삼시세끼,0,DAUM,15,"프레시지 '삼시세끼', 명란 파스타+스테이크 ""단돈 천 원?""",https://cp.news.search.daum.net/p/85090756
NAVER,프레시지 삼시세끼,0,DAUM,16,박서준이 뚝딱 만든 '명란파스타' 프레시지 삼시세끼 특가 만나고 1...,https://cp.news.search.daum.net/p/85090607
NAVER,프레시지 삼시세끼,0,DAUM,17,"'프레시지 삼시세끼' 캐시슬라이드, 'ㅁㄹㅍㅅㅌ' 초성퀴즈 출제…...",https://cp.news.search.daum.net/p/85090577
NAVER,프레시지 삼시세끼,0,DAUM,18,프레시지 삼시세끼 도대체 뭐지 '그냥 공짜로 준다고?’…’단돈 천...,https://cp.news.search.daum.net/p/85090515
NAVER,프레시지 삼시세끼,0,DAUM,19,프레시지 삼시세끼 초성퀴즈 및 천원특가 이벤트 화제,https://cp.news.search.daum.net/p/85090416
NAVER,프레시지 삼시세끼,0,DAUM,20,프레시지 삼시세끼 런칭 이벤트 12시 한정 수량만,https://cp.news.search.daum.net/p/85090306
NAVER,프레시지 삼시세끼,0,DAUM,21,"프레시지 삼시세끼, '밀키트' 어디에서 온 말? '이것' 보면 완벽 이해",https://cp.news.search.daum.net/p/85090287
NAVER,프레시지 삼시세끼,0,DAUM,22,프레시지 삼시세끼 산촌편 밀키트가 천원?.. 타임특가 언제길래,http://v.media.daum.net/v/20191012102938906?f=o
NAVER,프레시지 삼시세끼,0,DAUM,23,프레시지 삼시세끼 'ㅁㄹㅍㅅㅌ' 초성퀴즈 정답은?,https://cp.news.search.daum.net/p/85090229
NAVER,프레시지 삼시세끼,0,DAUM,24,"프레시지 삼시세끼 ㅁㄹㅍㅅㅌ, 캐시슬라이드 초성퀴즈 정답공개",http://v.media.daum.net/v/20191012100711681?f=o
NAVER,프레시지 삼시세끼,0,DAUM,25,"프레시지, ""삼시세끼 산촌편 밀키트를 천원에"" 12일 타임특가 실시",http://v.media.daum.net/v/20191012090142975?f=o
NAVER,프레시지 삼시세끼,0,DAUM,26,"프레시지, 12일 단 하루 '삼시세끼 산촌편 밀키트' 천원 특가 이벤트",http://v.media.daum.net/v/20191012085507874?f=o
NAVER,프레시지 삼시세끼,0,DAUM,27,"프레시지, 오는 12일 ‘밀키트 천원 타임특가’ 이벤트 진행",https://cp.news.search.daum.net/p/85089405
NAVER,프레시지 삼시세끼,0,DAUM,28,"tvN <삼시세끼 산촌편>의 요리, 집에서 간편하게 즐길 수 있는 방법...",http://v.media.daum.net/v/20191006110127322?f=o
NAVER,프레시지 삼시세끼,0,DAUM,29,"tvN '삼시세끼 산촌편' 요리, 집에서 맛 볼 방법이 있다고?",http://v.media.daum.net/v/20191005110044876?f=o
NAVER,프레시지 삼시세끼,0,Google,0,"프레시지, ‘삼시세끼 산촌편’ 밀키트를 천원에 12일 타임 특가 실시",https://cp.news.search.daum.net/p/85091196
